"RegionName","HousingType","Time","Value"
"San Francisco","1 Bedroom",2011-07-01,623.314713943726
"Seattle","1 Bedroom",2011-07-01,306.723237597911
"Los Angeles","2 Bedroom",2011-07-01,NA
"San Francisco","2 Bedroom",2011-07-01,NA
"Seattle","2 Bedroom",2011-07-01,265.185185185185
"Los Angeles","3 Bedroom",2011-07-01,NA
"San Francisco","3 Bedroom",2011-07-01,NA
"Seattle","3 Bedroom",2011-07-01,222.292993630573
"Los Angeles","4 Bedroom",2011-07-01,NA
"San Francisco","4 Bedroom",2011-07-01,NA
"Seattle","4 Bedroom",2011-07-01,207.07100591716
"New York","5+ Bedroom",2011-07-01,225.691802296907
"Los Angeles","5+ Bedroom",2011-07-01,NA
"San Francisco","5+ Bedroom",2011-07-01,NA
"Seattle","5+ Bedroom",2011-07-01,191.100314840951
"Los Angeles","All Homes",2011-07-01,NA
"San Francisco","All Homes",2011-07-01,NA
"Seattle","All Homes",2011-07-01,242.393939393939
"New York","Condominium",2011-07-01,NA
"Los Angeles","Condominium",2011-07-01,NA
"San Francisco","Condominium",2011-07-01,621.963935189806
"Seattle","Condominium",2011-07-01,290.496760259179
"New York","Single Family Residence",2011-07-01,NA
"Los Angeles","Single Family Residence",2011-07-01,NA
"San Francisco","Single Family Residence",2011-07-01,NA
"Seattle","Single Family Residence",2011-07-01,220.467047930283
"Los Angeles","1 Bedroom",2011-08-01,NA
"San Francisco","1 Bedroom",2011-08-01,627.891791945466
"Seattle","1 Bedroom",2011-08-01,304.073714839961
"Los Angeles","2 Bedroom",2011-08-01,NA
"San Francisco","2 Bedroom",2011-08-01,NA
"Seattle","2 Bedroom",2011-08-01,273.835616438356
"Los Angeles","3 Bedroom",2011-08-01,NA
"San Francisco","3 Bedroom",2011-08-01,NA
"Seattle","3 Bedroom",2011-08-01,225.520833333333
"Los Angeles","4 Bedroom",2011-08-01,NA
"San Francisco","4 Bedroom",2011-08-01,NA
"Seattle","4 Bedroom",2011-08-01,208.333333333333
"New York","5+ Bedroom",2011-08-01,223.127035830619
"Los Angeles","5+ Bedroom",2011-08-01,NA
"San Francisco","5+ Bedroom",2011-08-01,NA
"Seattle","5+ Bedroom",2011-08-01,185.987628971819
"Los Angeles","All Homes",2011-08-01,NA
"San Francisco","All Homes",2011-08-01,NA
"Seattle","All Homes",2011-08-01,245.049504950495
"New York","Condominium",2011-08-01,NA
"Los Angeles","Condominium",2011-08-01,NA
"San Francisco","Condominium",2011-08-01,622.96858071506
"Seattle","Condominium",2011-08-01,291.935122130245
"New York","Single Family Residence",2011-08-01,NA
"Los Angeles","Single Family Residence",2011-08-01,NA
"San Francisco","Single Family Residence",2011-08-01,NA
"Seattle","Single Family Residence",2011-08-01,221.774193548387
"Los Angeles","1 Bedroom",2011-09-01,NA
"San Francisco","1 Bedroom",2011-09-01,612.113402061856
