"RegionName","HousingType","Time","Value"
"San Francisco","All Homes",2011-12-01,3.24957391508128
"Seattle","All Homes",2011-12-01,1.44444444444444
"New York","Condominium",2011-12-01,NA
"Los Angeles","Condominium",2011-12-01,1.81286549707602
"San Francisco","Condominium",2011-12-01,3.55811889973381
"Seattle","Condominium",2011-12-01,1.73563218390805
"Los Angeles","Single Family Residence",2011-12-01,1.77708410378185
"San Francisco","Single Family Residence",2011-12-01,NA
"Seattle","Single Family Residence",2011-12-01,NA
"Los Angeles","1 Bedroom",2012-01-01,1.9790454016298
"San Francisco","1 Bedroom",2012-01-01,3.56207255426702
"Seattle","1 Bedroom",2012-01-01,1.74853801169591
"Los Angeles","2 Bedroom",2012-01-01,1.81727272727273
"San Francisco","2 Bedroom",2012-01-01,3.15709994508512
"Los Angeles","3 Bedroom",2012-01-01,1.76108859619498
"San Francisco","3 Bedroom",2012-01-01,NA
"Seattle","3 Bedroom",2012-01-01,1.23333333333333
"Los Angeles","4 Bedroom",2012-01-01,1.55654137451483
"Seattle","4 Bedroom",2012-01-01,0.977941176470588
"New York","All Homes",2012-01-01,NA
"Los Angeles","All Homes",2012-01-01,1.81432610744581
"San Francisco","All Homes",2012-01-01,3.20997586484312
"Seattle","All Homes",2012-01-01,1.48377639351933
"New York","Condominium",2012-01-01,NA
"Los Angeles","Condominium",2012-01-01,1.79736751152074
"San Francisco","Condominium",2012-01-01,3.39726723465865
"Seattle","Condominium",2012-01-01,1.68461538461538
"Los Angeles","Single Family Residence",2012-01-01,1.81951793062904
"San Francisco","Single Family Residence",2012-01-01,NA
"Seattle","Single Family Residence",2012-01-01,NA
"Los Angeles","1 Bedroom",2012-02-01,2.06299603174603
"San Francisco","1 Bedroom",2012-02-01,3.67063008130081
"Seattle","1 Bedroom",2012-02-01,1.80299335306101
"Los Angeles","2 Bedroom",2012-02-01,1.90053285968028
"San Francisco","2 Bedroom",2012-02-01,3.09349672580365
"Los Angeles","3 Bedroom",2012-02-01,1.74501424501424
"San Francisco","3 Bedroom",2012-02-01,NA
"Seattle","3 Bedroom",2012-02-01,1.27718676122931
"Los Angeles","4 Bedroom",2012-02-01,1.57776108189331
"Seattle","4 Bedroom",2012-02-01,1.05314685314685
"New York","All Homes",2012-02-01,NA
"Los Angeles","All Homes",2012-02-01,1.82553685653366
"San Francisco","All Homes",2012-02-01,2.96581547756189
"Seattle","All Homes",2012-02-01,1.50602409638554
"New York","Condominium",2012-02-01,NA
"Los Angeles","Condominium",2012-02-01,1.88421052631579
"San Francisco","Condominium",2012-02-01,3.21428571428571
"Seattle","Condominium",2012-02-01,1.66666666666667
"Los Angeles","Single Family Residence",2012-02-01,1.78947368421053
"San Francisco","Single Family Residence",2012-02-01,NA
"Seattle","Single Family Residence",2012-02-01,NA
"Los Angeles","1 Bedroom",2012-03-01,2.1513353115727
"San Francisco","1 Bedroom",2012-03-01,3.5291519434629
"Seattle","1 Bedroom",2012-03-01,1.84375
"Los Angeles","2 Bedroom",2012-03-01,1.91143790849673
"San Francisco","2 Bedroom",2012-03-01,3.14696734059098
"Los Angeles","3 Bedroom",2012-03-01,1.76029962546816
"San Francisco","3 Bedroom",2012-03-01,NA
"Seattle","3 Bedroom",2012-03-01,1.27996031746032
"Los Angeles","4 Bedroom",2012-03-01,1.53660764758136
"Seattle","4 Bedroom",2012-03-01,1.18148148148148
"New York","All Homes",2012-03-01,NA
"Los Angeles","All Homes",2012-03-01,1.8495
"San Francisco","All Homes",2012-03-01,2.98698884758364
"Seattle","All Homes",2012-03-01,1.47777777777778
"New York","Condominium",2012-03-01,NA
"Los Angeles","Condominium",2012-03-01,1.88811188811189
"San Francisco","Condominium",2012-03-01,3.25131810193322
"Seattle","Condominium",2012-03-01,1.64285714285714
"Los Angeles","Single Family Residence",2012-03-01,1.82611209393322
"San Francisco","Single Family Residence",2012-03-01,NA
"Seattle","Single Family Residence",2012-03-01,NA
"Los Angeles","1 Bedroom",2012-04-01,2.13175024108004
"San Francisco","1 Bedroom",2012-04-01,3.53019869411053
"Seattle","1 Bedroom",2012-04-01,1.8768063583815
"Los Angeles","2 Bedroom",2012-04-01,1.90551013734467
"San Francisco","2 Bedroom",2012-04-01,3
"Los Angeles","3 Bedroom",2012-04-01,1.73328309469982
"San Francisco","3 Bedroom",2012-04-01,NA
"Seattle","3 Bedroom",2012-04-01,1.27027027027027
"Los Angeles","4 Bedroom",2012-04-01,1.52045331851694
"Seattle","4 Bedroom",2012-04-01,1.20454545454545
"New York","All Homes",2012-04-01,NA
"Los Angeles","All Homes",2012-04-01,1.8258939993908
"San Francisco","All Homes",2012-04-01,2.85826155050901
"Seattle","All Homes",2012-04-01,1.47058823529412
"New York","Condominium",2012-04-01,NA
"Los Angeles","Condominium",2012-04-01,1.87545520757465
"San Francisco","Condominium",2012-04-01,3.23496027241771
"Seattle","Condominium",2012-04-01,1.69376693766938
"Los Angeles","Single Family Residence",2012-04-01,1.79004854368932
"San Francisco","Single Family Residence",2012-04-01,NA
"Seattle","Single Family Residence",2012-04-01,NA
"Los Angeles","1 Bedroom",2012-05-01,2.14574468085106
"San Francisco","1 Bedroom",2012-05-01,3.62072784810127
"Seattle","1 Bedroom",2012-05-01,1.86472819216182
"Los Angeles","2 Bedroom",2012-05-01,1.91666666666667
"San Francisco","2 Bedroom",2012-05-01,3
"Los Angeles","3 Bedroom",2012-05-01,1.77951388888889
"San Francisco","3 Bedroom",2012-05-01,NA
"Seattle","3 Bedroom",2012-05-01,1.28214285714286
"Los Angeles","4 Bedroom",2012-05-01,1.5281173594132
"Seattle","4 Bedroom",2012-05-01,1.125
"New York","All Homes",2012-05-01,NA
"Los Angeles","All Homes",2012-05-01,1.83333333333333
"San Francisco","All Homes",2012-05-01,2.97397769516729
"Seattle","All Homes",2012-05-01,1.45181522532687
"New York","Condominium",2012-05-01,NA
"Los Angeles","Condominium",2012-05-01,1.85840707964602
"San Francisco","Condominium",2012-05-01,3.26852741147403
"Seattle","Condominium",2012-05-01,1.68918918918919
"Los Angeles","Single Family Residence",2012-05-01,1.82186234817814
"San Francisco","Single Family Residence",2012-05-01,NA
"Seattle","Single Family Residence",2012-05-01,NA
"Los Angeles","1 Bedroom",2012-06-01,2.12903225806452
"San Francisco","1 Bedroom",2012-06-01,3.64091658710181
"Seattle","1 Bedroom",2012-06-01,1.98583569405099
"Los Angeles","2 Bedroom",2012-06-01,1.91055731364276
"San Francisco","2 Bedroom",2012-06-01,3.18181818181818
"Los Angeles","3 Bedroom",2012-06-01,1.78875638841567
"San Francisco","3 Bedroom",2012-06-01,NA
"Seattle","3 Bedroom",2012-06-01,1.30555555555556
"Los Angeles","4 Bedroom",2012-06-01,1.52996356108723
"Seattle","4 Bedroom",2012-06-01,1.17021276595745
"New York","All Homes",2012-06-01,NA
"Los Angeles","All Homes",2012-06-01,1.83333333333333
