"RegionName","HousingType","Time","Value"
"Seattle","4 Bedroom",1997-04-01,216000
"New York","5+ Bedroom",1997-04-01,NA
"Los Angeles","5+ Bedroom",1997-04-01,406700
"San Francisco","5+ Bedroom",1997-04-01,425100
"Seattle","5+ Bedroom",1997-04-01,241500
"New York","All Homes",1997-04-01,NA
"Los Angeles","All Homes",1997-04-01,158200
"San Francisco","All Homes",1997-04-01,281800
"Seattle","All Homes",1997-04-01,170800
"New York","Condominium",1997-04-01,NA
"Los Angeles","Condominium",1997-04-01,129600
"San Francisco","Condominium",1997-04-01,281300
"Seattle","Condominium",1997-04-01,141200
"New York","Single Family Residence",1997-04-01,NA
"Los Angeles","Single Family Residence",1997-04-01,167000
"San Francisco","Single Family Residence",1997-04-01,281800
"Seattle","Single Family Residence",1997-04-01,181900
"New York","1 Bedroom",1997-05-01,NA
"Los Angeles","1 Bedroom",1997-05-01,94100
"San Francisco","1 Bedroom",1997-05-01,226000
"Seattle","1 Bedroom",1997-05-01,117700
"New York","2 Bedroom",1997-05-01,NA
"Los Angeles","2 Bedroom",1997-05-01,129600
"San Francisco","2 Bedroom",1997-05-01,277400
"Seattle","2 Bedroom",1997-05-01,153300
"New York","3 Bedroom",1997-05-01,170500
"Los Angeles","3 Bedroom",1997-05-01,157600
"San Francisco","3 Bedroom",1997-05-01,312100
"Seattle","3 Bedroom",1997-05-01,183900
"New York","4 Bedroom",1997-05-01,202600
"Los Angeles","4 Bedroom",1997-05-01,217200
"San Francisco","4 Bedroom",1997-05-01,352100
"Seattle","4 Bedroom",1997-05-01,218700
"New York","5+ Bedroom",1997-05-01,NA
"Los Angeles","5+ Bedroom",1997-05-01,410100
"San Francisco","5+ Bedroom",1997-05-01,426300
"Seattle","5+ Bedroom",1997-05-01,243800
"New York","All Homes",1997-05-01,NA
"Los Angeles","All Homes",1997-05-01,158600
"San Francisco","All Homes",1997-05-01,284600
"Seattle","All Homes",1997-05-01,172100
"New York","Condominium",1997-05-01,NA
"Los Angeles","Condominium",1997-05-01,130300
"San Francisco","Condominium",1997-05-01,285000
"Seattle","Condominium",1997-05-01,142500
"New York","Single Family Residence",1997-05-01,NA
"Los Angeles","Single Family Residence",1997-05-01,167300
"San Francisco","Single Family Residence",1997-05-01,284400
"Seattle","Single Family Residence",1997-05-01,183700
"New York","1 Bedroom",1997-06-01,NA
"Los Angeles","1 Bedroom",1997-06-01,94900
"San Francisco","1 Bedroom",1997-06-01,229000
"Seattle","1 Bedroom",1997-06-01,119200
"New York","2 Bedroom",1997-06-01,NA
"Los Angeles","2 Bedroom",1997-06-01,129900
"San Francisco","2 Bedroom",1997-06-01,280300
"Seattle","2 Bedroom",1997-06-01,154900
"New York","3 Bedroom",1997-06-01,171500
"Los Angeles","3 Bedroom",1997-06-01,157700
"San Francisco","3 Bedroom",1997-06-01,315000
"Seattle","3 Bedroom",1997-06-01,185800
"New York","4 Bedroom",1997-06-01,203900
"Los Angeles","4 Bedroom",1997-06-01,218500
"San Francisco","4 Bedroom",1997-06-01,354200
"Seattle","4 Bedroom",1997-06-01,221400
"New York","5+ Bedroom",1997-06-01,NA
"Los Angeles","5+ Bedroom",1997-06-01,412300
"San Francisco","5+ Bedroom",1997-06-01,429200
"Seattle","5+ Bedroom",1997-06-01,247000
"New York","All Homes",1997-06-01,NA
"Los Angeles","All Homes",1997-06-01,158800
"San Francisco","All Homes",1997-06-01,287400
"Seattle","All Homes",1997-06-01,173600
"New York","Condominium",1997-06-01,NA
"Los Angeles","Condominium",1997-06-01,131000
"San Francisco","Condominium",1997-06-01,288600
"Seattle","Condominium",1997-06-01,143800
"New York","Single Family Residence",1997-06-01,NA
"Los Angeles","Single Family Residence",1997-06-01,167300
"San Francisco","Single Family Residence",1997-06-01,287100
"Seattle","Single Family Residence",1997-06-01,185600
"New York","1 Bedroom",1997-07-01,NA
"Los Angeles","1 Bedroom",1997-07-01,95500
"San Francisco","1 Bedroom",1997-07-01,233100
"Seattle","1 Bedroom",1997-07-01,120500
"New York","2 Bedroom",1997-07-01,NA
"Los Angeles","2 Bedroom",1997-07-01,130000
"San Francisco","2 Bedroom",1997-07-01,283900
"Seattle","2 Bedroom",1997-07-01,157000
"New York","3 Bedroom",1997-07-01,172600
"Los Angeles","3 Bedroom",1997-07-01,157400
"San Francisco","3 Bedroom",1997-07-01,318100
"Seattle","3 Bedroom",1997-07-01,188000
"New York","4 Bedroom",1997-07-01,204900
"Los Angeles","4 Bedroom",1997-07-01,220100
"San Francisco","4 Bedroom",1997-07-01,357600
"Seattle","4 Bedroom",1997-07-01,224300
"New York","5+ Bedroom",1997-07-01,NA
"Los Angeles","5+ Bedroom",1997-07-01,413100
"San Francisco","5+ Bedroom",1997-07-01,434600
"Seattle","5+ Bedroom",1997-07-01,251100
"New York","All Homes",1997-07-01,NA
"Los Angeles","All Homes",1997-07-01,158900
"San Francisco","All Homes",1997-07-01,290500
"Seattle","All Homes",1997-07-01,175400
"New York","Condominium",1997-07-01,NA
"Los Angeles","Condominium",1997-07-01,132000
"San Francisco","Condominium",1997-07-01,292500
"Seattle","Condominium",1997-07-01,145400
"New York","Single Family Residence",1997-07-01,NA
"Los Angeles","Single Family Residence",1997-07-01,167300
"San Francisco","Single Family Residence",1997-07-01,289700
"Seattle","Single Family Residence",1997-07-01,187900
"New York","1 Bedroom",1997-08-01,NA
"Los Angeles","1 Bedroom",1997-08-01,96000
"San Francisco","1 Bedroom",1997-08-01,235100
"Seattle","1 Bedroom",1997-08-01,121700
"New York","2 Bedroom",1997-08-01,NA
"Los Angeles","2 Bedroom",1997-08-01,130200
"San Francisco","2 Bedroom",1997-08-01,287600
"Seattle","2 Bedroom",1997-08-01,159100
"New York","3 Bedroom",1997-08-01,173700
"Los Angeles","3 Bedroom",1997-08-01,157300
"San Francisco","3 Bedroom",1997-08-01,321800
"Seattle","3 Bedroom",1997-08-01,190300
"New York","4 Bedroom",1997-08-01,206000
"Los Angeles","4 Bedroom",1997-08-01,221400
"San Francisco","4 Bedroom",1997-08-01,362200
"Seattle","4 Bedroom",1997-08-01,227200
"New York","5+ Bedroom",1997-08-01,NA
"Los Angeles","5+ Bedroom",1997-08-01,414300
"San Francisco","5+ Bedroom",1997-08-01,441200
"Seattle","5+ Bedroom",1997-08-01,254600
"New York","All Homes",1997-08-01,NA
"Los Angeles","All Homes",1997-08-01,159100
"San Francisco","All Homes",1997-08-01,293900
"Seattle","All Homes",1997-08-01,177400
"New York","Condominium",1997-08-01,NA
"Los Angeles","Condominium",1997-08-01,133100
