"RegionName","HousingType","Time","Value"
"San Francisco","4 Bedroom",2010-12-01,NA
"Seattle","4 Bedroom",2010-12-01,469950
"New York","5+ Bedroom",2010-12-01,559000
"Los Angeles","5+ Bedroom",2010-12-01,NA
"Seattle","5+ Bedroom",2010-12-01,NA
"New York","All Homes",2010-12-01,NA
"Los Angeles","All Homes",2010-12-01,NA
"San Francisco","All Homes",2010-12-01,NA
"Seattle","All Homes",2010-12-01,339000
"New York","Condominium",2010-12-01,NA
"Los Angeles","Condominium",2010-12-01,NA
"San Francisco","Condominium",2010-12-01,649000
"Seattle","Condominium",2010-12-01,284925
"New York","Single Family Residence",2010-12-01,NA
"Los Angeles","Single Family Residence",2010-12-01,NA
"San Francisco","Single Family Residence",2010-12-01,NA
"Seattle","Single Family Residence",2010-12-01,NA
"New York","1 Bedroom",2011-01-01,NA
"Los Angeles","1 Bedroom",2011-01-01,NA
"San Francisco","1 Bedroom",2011-01-01,NA
"Seattle","1 Bedroom",2011-01-01,NA
"Los Angeles","2 Bedroom",2011-01-01,NA
"San Francisco","2 Bedroom",2011-01-01,NA
"Seattle","2 Bedroom",2011-01-01,310000
"Los Angeles","3 Bedroom",2011-01-01,NA
"San Francisco","3 Bedroom",2011-01-01,NA
"Seattle","3 Bedroom",2011-01-01,368400
"Los Angeles","4 Bedroom",2011-01-01,NA
"San Francisco","4 Bedroom",2011-01-01,NA
"Seattle","4 Bedroom",2011-01-01,448500
"New York","5+ Bedroom",2011-01-01,550000
"Los Angeles","5+ Bedroom",2011-01-01,NA
"Seattle","5+ Bedroom",2011-01-01,NA
"New York","All Homes",2011-01-01,NA
"Los Angeles","All Homes",2011-01-01,NA
"San Francisco","All Homes",2011-01-01,NA
"Seattle","All Homes",2011-01-01,319950
"New York","Condominium",2011-01-01,NA
"Los Angeles","Condominium",2011-01-01,NA
"San Francisco","Condominium",2011-01-01,649000
"Seattle","Condominium",2011-01-01,275000
"New York","Single Family Residence",2011-01-01,NA
"Los Angeles","Single Family Residence",2011-01-01,NA
"San Francisco","Single Family Residence",2011-01-01,NA
"Seattle","Single Family Residence",2011-01-01,NA
"New York","1 Bedroom",2011-02-01,NA
"Los Angeles","1 Bedroom",2011-02-01,NA
"San Francisco","1 Bedroom",2011-02-01,NA
"Seattle","1 Bedroom",2011-02-01,NA
"Los Angeles","2 Bedroom",2011-02-01,NA
"San Francisco","2 Bedroom",2011-02-01,NA
"Seattle","2 Bedroom",2011-02-01,309000
"Los Angeles","3 Bedroom",2011-02-01,NA
"San Francisco","3 Bedroom",2011-02-01,NA
"Seattle","3 Bedroom",2011-02-01,369000
"Los Angeles","4 Bedroom",2011-02-01,NA
"San Francisco","4 Bedroom",2011-02-01,NA
"Seattle","4 Bedroom",2011-02-01,449250
"New York","5+ Bedroom",2011-02-01,550000
"Los Angeles","5+ Bedroom",2011-02-01,NA
"Seattle","5+ Bedroom",2011-02-01,NA
"New York","All Homes",2011-02-01,NA
"Los Angeles","All Homes",2011-02-01,NA
"San Francisco","All Homes",2011-02-01,NA
"Seattle","All Homes",2011-02-01,315000
"New York","Condominium",2011-02-01,NA
"Los Angeles","Condominium",2011-02-01,NA
"San Francisco","Condominium",2011-02-01,619900
"Seattle","Condominium",2011-02-01,269000
"New York","Single Family Residence",2011-02-01,NA
"Los Angeles","Single Family Residence",2011-02-01,NA
"San Francisco","Single Family Residence",2011-02-01,NA
"Seattle","Single Family Residence",2011-02-01,NA
"New York","1 Bedroom",2011-03-01,NA
"Los Angeles","1 Bedroom",2011-03-01,NA
"San Francisco","1 Bedroom",2011-03-01,NA
"Seattle","1 Bedroom",2011-03-01,NA
"Los Angeles","2 Bedroom",2011-03-01,NA
"San Francisco","2 Bedroom",2011-03-01,NA
"Seattle","2 Bedroom",2011-03-01,299950
"Los Angeles","3 Bedroom",2011-03-01,NA
"San Francisco","3 Bedroom",2011-03-01,NA
"Seattle","3 Bedroom",2011-03-01,369000
"Los Angeles","4 Bedroom",2011-03-01,NA
"San Francisco","4 Bedroom",2011-03-01,NA
"Seattle","4 Bedroom",2011-03-01,439500
"New York","5+ Bedroom",2011-03-01,560000
"Los Angeles","5+ Bedroom",2011-03-01,NA
"Seattle","5+ Bedroom",2011-03-01,NA
"New York","All Homes",2011-03-01,NA
"Los Angeles","All Homes",2011-03-01,NA
"San Francisco","All Homes",2011-03-01,NA
"Seattle","All Homes",2011-03-01,312500
"New York","Condominium",2011-03-01,NA
"Los Angeles","Condominium",2011-03-01,NA
"San Francisco","Condominium",2011-03-01,629000
"Seattle","Condominium",2011-03-01,264375
"New York","Single Family Residence",2011-03-01,NA
