"RegionName","HousingType","Time","Value"
"Los Angeles","4 Bedroom",2015-03-01,3600
"Seattle","4 Bedroom",2015-03-01,2500
"New York","5+ Bedroom",2015-03-01,4197.5
"New York","All Homes",2015-03-01,2950
"Los Angeles","All Homes",2015-03-01,2999
"San Francisco","All Homes",2015-03-01,4500
"Seattle","All Homes",2015-03-01,2025
"New York","Condominium",2015-03-01,3125
"Los Angeles","Condominium",2015-03-01,2700
"San Francisco","Condominium",2015-03-01,4280
"Seattle","Condominium",2015-03-01,1827.5
"New York","Single Family Residence",2015-03-01,2600
"Los Angeles","Single Family Residence",2015-03-01,3300
"San Francisco","Single Family Residence",2015-03-01,4705
"Seattle","Single Family Residence",2015-03-01,2450
"New York","1 Bedroom",2015-04-01,2350
"Los Angeles","1 Bedroom",2015-04-01,1759
"San Francisco","1 Bedroom",2015-04-01,3500
"Seattle","1 Bedroom",2015-04-01,1706
"New York","2 Bedroom",2015-04-01,2650
"Los Angeles","2 Bedroom",2015-04-01,2500
"San Francisco","2 Bedroom",2015-04-01,4610
"New York","3 Bedroom",2015-04-01,2800
"Los Angeles","3 Bedroom",2015-04-01,3250
"San Francisco","3 Bedroom",2015-04-01,5847.5
"Seattle","3 Bedroom",2015-04-01,2500
"New York","4 Bedroom",2015-04-01,3700
"Los Angeles","4 Bedroom",2015-04-01,3497.5
"Seattle","4 Bedroom",2015-04-01,2500
"New York","5+ Bedroom",2015-04-01,4600
"New York","All Homes",2015-04-01,2950
"Los Angeles","All Homes",2015-04-01,3195
"San Francisco","All Homes",2015-04-01,4495
"Seattle","All Homes",2015-04-01,2200
"New York","Condominium",2015-04-01,3150
"Los Angeles","Condominium",2015-04-01,2850
"San Francisco","Condominium",2015-04-01,4175
"Seattle","Condominium",2015-04-01,1900
"New York","Single Family Residence",2015-04-01,2620
"Los Angeles","Single Family Residence",2015-04-01,3500
"San Francisco","Single Family Residence",2015-04-01,4800
"Seattle","Single Family Residence",2015-04-01,2495
"New York","1 Bedroom",2015-05-01,2375
"Los Angeles","1 Bedroom",2015-05-01,1795
"San Francisco","1 Bedroom",2015-05-01,3500
"Seattle","1 Bedroom",2015-05-01,1700.5
"New York","2 Bedroom",2015-05-01,2700
"Los Angeles","2 Bedroom",2015-05-01,2538.5
"San Francisco","2 Bedroom",2015-05-01,4700
"New York","3 Bedroom",2015-05-01,2800
"Los Angeles","3 Bedroom",2015-05-01,3300
"San Francisco","3 Bedroom",2015-05-01,5650
"Seattle","3 Bedroom",2015-05-01,2750
"New York","4 Bedroom",2015-05-01,3500
"Los Angeles","4 Bedroom",2015-05-01,3500
"Seattle","4 Bedroom",2015-05-01,2695
"New York","5+ Bedroom",2015-05-01,4000
"New York","All Homes",2015-05-01,2900
"Los Angeles","All Homes",2015-05-01,3195
"San Francisco","All Homes",2015-05-01,4500
"Seattle","All Homes",2015-05-01,2200
"New York","Condominium",2015-05-01,3195
"Los Angeles","Condominium",2015-05-01,2800
"San Francisco","Condominium",2015-05-01,4500
"Seattle","Condominium",2015-05-01,1990
"New York","Single Family Residence",2015-05-01,2650
"Los Angeles","Single Family Residence",2015-05-01,3600
"San Francisco","Single Family Residence",2015-05-01,4500
"Seattle","Single Family Residence",2015-05-01,2500
"New York","1 Bedroom",2015-06-01,2300
"Los Angeles","1 Bedroom",2015-06-01,1825
"San Francisco","1 Bedroom",2015-06-01,3595
"Seattle","1 Bedroom",2015-06-01,1710
"New York","2 Bedroom",2015-06-01,2650
"Los Angeles","2 Bedroom",2015-06-01,2595
"San Francisco","2 Bedroom",2015-06-01,4775
"New York","3 Bedroom",2015-06-01,2850
"Los Angeles","3 Bedroom",2015-06-01,3300
"San Francisco","3 Bedroom",2015-06-01,5897.5
"Seattle","3 Bedroom",2015-06-01,2795
"New York","4 Bedroom",2015-06-01,3600
"Los Angeles","4 Bedroom",2015-06-01,3600
"Seattle","4 Bedroom",2015-06-01,2897.5
"New York","5+ Bedroom",2015-06-01,4200
"New York","All Homes",2015-06-01,3000
"Los Angeles","All Homes",2015-06-01,3200
"San Francisco","All Homes",2015-06-01,4600
"Seattle","All Homes",2015-06-01,2262.5
"New York","Condominium",2015-06-01,3200
"Los Angeles","Condominium",2015-06-01,2800
"San Francisco","Condominium",2015-06-01,4600
"Seattle","Condominium",2015-06-01,1950
"New York","Single Family Residence",2015-06-01,2700
"Los Angeles","Single Family Residence",2015-06-01,3800
"San Francisco","Single Family Residence",2015-06-01,4595
"Seattle","Single Family Residence",2015-06-01,2595
"New York","1 Bedroom",2015-07-01,2250
"Los Angeles","1 Bedroom",2015-07-01,1805
"San Francisco","1 Bedroom",2015-07-01,3495
"Seattle","1 Bedroom",2015-07-01,1745
"New York","2 Bedroom",2015-07-01,2600
"Los Angeles","2 Bedroom",2015-07-01,2595
"San Francisco","2 Bedroom",2015-07-01,4725
"New York","3 Bedroom",2015-07-01,2899
"Los Angeles","3 Bedroom",2015-07-01,3395
"San Francisco","3 Bedroom",2015-07-01,6195
"Seattle","3 Bedroom",2015-07-01,2750
"New York","4 Bedroom",2015-07-01,3700
"Los Angeles","4 Bedroom",2015-07-01,3695
"Seattle","4 Bedroom",2015-07-01,2995
"New York","5+ Bedroom",2015-07-01,4200
"New York","All Homes",2015-07-01,3000
"Los Angeles","All Homes",2015-07-01,3200
"San Francisco","All Homes",2015-07-01,4600
"Seattle","All Homes",2015-07-01,2400
"New York","Condominium",2015-07-01,3200
"Los Angeles","Condominium",2015-07-01,2885
"San Francisco","Condominium",2015-07-01,4550
"Seattle","Condominium",2015-07-01,2000
"New York","Single Family Residence",2015-07-01,2700
"Los Angeles","Single Family Residence",2015-07-01,3600
"San Francisco","Single Family Residence",2015-07-01,4900
"Seattle","Single Family Residence",2015-07-01,2700
"New York","1 Bedroom",2015-08-01,2300
"Los Angeles","1 Bedroom",2015-08-01,1810
"San Francisco","1 Bedroom",2015-08-01,3552.5
"Seattle","1 Bedroom",2015-08-01,1752
"New York","2 Bedroom",2015-08-01,2600
"Los Angeles","2 Bedroom",2015-08-01,2600
"San Francisco","2 Bedroom",2015-08-01,4900
"New York","3 Bedroom",2015-08-01,2900
"Los Angeles","3 Bedroom",2015-08-01,3450
"San Francisco","3 Bedroom",2015-08-01,6500
"Seattle","3 Bedroom",2015-08-01,2680
"New York","4 Bedroom",2015-08-01,3799
"Los Angeles","4 Bedroom",2015-08-01,3825
"Seattle","4 Bedroom",2015-08-01,2950
"New York","5+ Bedroom",2015-08-01,4495
"New York","All Homes",2015-08-01,3000
"Los Angeles","All Homes",2015-08-01,3300
"San Francisco","All Homes",2015-08-01,4850
"Seattle","All Homes",2015-08-01,2395
"New York","Condominium",2015-08-01,3200
"Los Angeles","Condominium",2015-08-01,2850
"San Francisco","Condominium",2015-08-01,4700
"Seattle","Condominium",2015-08-01,2100
"New York","Single Family Residence",2015-08-01,2695
"Los Angeles","Single Family Residence",2015-08-01,3800
"San Francisco","Single Family Residence",2015-08-01,5200
"Seattle","Single Family Residence",2015-08-01,2695
"New York","1 Bedroom",2015-09-01,2300
"Los Angeles","1 Bedroom",2015-09-01,1850
"San Francisco","1 Bedroom",2015-09-01,3538
"Seattle","1 Bedroom",2015-09-01,1755
"New York","2 Bedroom",2015-09-01,2600
"Los Angeles","2 Bedroom",2015-09-01,2600
"San Francisco","2 Bedroom",2015-09-01,4795
